original_term,normalized,canonical,frequency,is_garbage,level_2,level_2_description,level_3,level_3_description
Linear Discriminant Analysis (LDA),Linear Discriminant Analysi (LDA),Linear Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Linear discriminant analysis,Linear Discriminant Analysi,Linear Discriminant Analysi,4,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Linear-discriminant analysis,Linear Discriminant Analysi,Linear Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
linear discriminant analysis,Linear Discriminant Analysi,Linear Discriminant Analysi,4,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Linear Discriminant Functions (LDF),Linear Discriminant Function (LDF),Linear Discriminant Function (LDF),1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Mixture Discriminant Analysis,Mixture Discriminant Analysi,Mixture Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Multiple Discriminant Analysis,Multiple Discriminant Analysi,Multiple Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Multiple Discriminant Function Analysis,Multiple Discriminant Function Analysi,Multiple Discriminant Function Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Multivariate Discriminant Function Analysis,Multivariate Discriminant Function Analysi,Multiple Discriminant Function Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
multivariate discriminant analyses,Multivariate Discriminant Analysi,Multivariate Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Posterior Discriminant Analysis,Posterior Discriminant Analysi,Posterior Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Quadratic Discriminant Analysis,Quadratic Discriminant Analysi,Quadratic Discriminant Analysi,2,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
quadratic discriminant analysis,Quadratic Discriminant Analysi,Quadratic Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Stepwise Discriminant Analysis,Stepwise Discriminant Analysi,Stepwise Discriminant Analysi,3,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Stepwise discriminant analysis,Stepwise Discriminant Analysi,Stepwise Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
stepwise linear discriminant analysis,Stepwise Linear Discriminant Analysi,Stepwise Discriminant Analysi,3,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
step‐wise discriminant analysis,Step‐wise Discriminant Analysi,Stepwise Discriminant Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
Stepwise Discriminant Function Analysis,Stepwise Discriminant Function Analysi,Stepwise Discriminant Function Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
stepwise multivariate discriminant function analysis,Stepwise Multivariate Discriminant Function Analysi,Stepwise Multivariate Discriminant Function Analysi,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
UDA-ODA discrimination,UDA ODA Discrimination,UDA ODA Discrimination,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
UDA-ODA discrimination technique,UDA ODA Discrimination Technique,UDA ODA Discrimination Technique,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-015: Discriminant Analysis Variants,"This cluster encompasses linear, quadratic, and flexible discriminant analysis methods, including stepwise, kernel, and mixture approaches used for classifying observations based on feature distributions."
ADASYN,ADASYN,ADASYN,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Cholesky Decomposition,Cholesky Decomposition,Cholesky Decomposition,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
interpretable machine learning,Interpretable Machine Learning,Interpretable Machine Learning,2,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Kolmogorov–Arnold Representation,Kolmogorov–arnold Representation,Kolmogorov–arnold Representation,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
LS-SVM,LS-SVM,LS-SVM,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
low-rank tensor fusion,Low Rank Tensor Fusion,Low Rank Tensor Fusion,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Maximum Mean Discrepancy,Maximum Mean Discrepancy,Maximum Mean Discrepancy,2,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
maximum mean discrepancy,Maximum Mean Discrepancy,Maximum Mean Discrepancy,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Minibatch SGD,Minibatch SGD,Minibatch SGD,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
multiple kernel learning,Multiple Kernel Learning,Multiple Kernel Learning,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
NMF,NMF,NMF,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Non-Negative Matrix Factorization,Non Negative Matrix Factorization,Non Negative Matrix Factorization,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Non-negative Matrix Factorization,Non Negative Matrix Factorization,Non Negative Matrix Factorization,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Sparse Non-negative Matrix Factorization,Sparse Non Negative Matrix Factorization,Non Negative Matrix Factorization,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Nonnegative Matrix Decomposition,Nonnegative Matrix Decomposition,Nonnegative Matrix Decomposition,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Polynomial Kernel,Polynomial Kernel,Polynomial Kernel,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
RF-SMOTE,RF-SMOTE,RF-SMOTE,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Radial Basis Functions,Radial Basi Function,Radial Basi Function,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Reduced rank regressions,Reduced Rank Regression,Reduced Rank Regression,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
SLRM,SLRM,SLRM,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
SMOTE,SMOTE,SMOTE,2,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
SVM,SVM,SVM,5,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Singular Value Decomposition,Singular Value Decomposition,Singular Value Decomposition,2,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Singular Vector Machine,Singular Vector Machine,Singular Vector Machine,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Soft Independent Modelling of Class Analogies,Soft Independent Modeling Of Clas Analogie,Soft Independent Modeling Of Clas Analogie,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Support Vector Classifier,Support Vector Classifier,Support Vector Classifier,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Support Vector Machine,Support Vector Machine,Support Vector Machine,20,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Support Vector Machines,Support Vector Machine,Support Vector Machine,6,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Support-Vector Machines,Support Vector Machine,Support Vector Machine,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
support vector machine,Support Vector Machine,Support Vector Machine,2,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
support vector machines,Support Vector Machine,Support Vector Machine,5,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
Support Vector Machines Classification,Support Vector Machine Classification,Support Vector Machine Classification,1,False,L2-15: Machine Learning & Supervised Classification,"Statistical learning algorithms trained on labelled examples to classify or predict outcomes, using hand-crafted features rather than end-to-end learning. Examples: Support Vector Machines (SVM), Random Forests, Gradient Boosting, Decision Trees, k-Nearest Neighbours, Naive Bayes.",L3-017: Support Vector Machine Variants,"This cluster encompasses Support Vector Machine algorithms and their specific extensions, including classification, regression, and specialized kernels, alongside related dimensionality reduction and data augmentation techniques often used in conjunction with SVMs."
